% faster firerate,% по -бърз пожар,百分比更快的火率,% rychlejší rychlost palby,% hurtigere brandfrekvens,% sneller brandpercentage,% nopeampi paloaste,% de taux de feu plus rapide,% schnellere Feuerrate,% ταχύτερος ρυθμός πυρκαγιάς,% तेजी से अग्नि दर,% A gyorsabb tűz aránya,% tasso di incendio più veloce,％速い火率,더 빠른 화재율,% raskere brannfrekvens,% szybszego wskaźnika pożaru,% de taxa de incêndio mais rápida,% ਤੇਜ਼ ਅੱਗ ਦੀ ਦਰ,% rata de foc mai rapidă,% быстрее пожар,% de tasa de fuego más rápida,% snabbare brandhastighet,อัตราการดับเพลิงที่เร็วขึ้น %,% daha hızlı yangın hızı,% Швидкий рівень пожежі,% tốc độ hỏa hoạn nhanh hơn
max connections,Макс връзки,最大连接,maximální připojení,Maks. Forbindelser,Max -verbindingen,enimmäisliitännät,Connexions maximales,Max -Verbindungen,μέγιστες συνδέσεις,अधिकतम कनेक्शन,Max Connections,connessioni massime,マックス接続,최대 연결,Maks tilkoblinger,Max Połączenia,conexões máximas,ਅਧਿਕਤਮ ਕੁਨੈਕਸ਼ਨ,Conexiuni maxime,максимальные соединения,Conexiones máximas,Max -anslutningar,การเชื่อมต่อสูงสุด,Maksimum bağlantılar,максимальні з'єднання,Kết nối tối đa
wings,крила,翅膀,křídla,vinger,Vleugels,siivet,ailes,Flügel,παρασκήνια,पंख,szárnyak,ali,翼,날개,vinger,skrzydełka,asas,ਖੰਭ,aripi,крылья,alas,vingar,ปีก,kanatlar,крила,cánh
speed,скорост,速度,Rychlost,fart,snelheid,nopeus,vitesse,Geschwindigkeit,Ταχύτητα,रफ़्तार,sebesség,velocità,スピード,속도,hastighet,prędkość,velocidade,ਗਤੀ,viteză,скорость,velocidad,fart,ความเร็ว,hız,швидкість,tốc độ
buff,Бъф,buff,fanoušek,Buff,buffel,harrastaja,chamois,polieren,βοός,चमड़ा,barnássárga,in forma,バフ,버프,buff,polerować,Buff,ਬੱਫ,piele de bivol,бафф,fuerte,vältränad,บัฟ,devetüyü rengi,блюдо,đánh bóng
swarm,рояк,一群,roj,sværm,zwerm,parvi,essaim,Schwarm,σμήνος,झुंड,raj,sciame,群れ,군단,sverm,rój,enxame,ਝੁੰਡ,roi,рой,enjambre,svärm,ฝูง,sürü,рій,họp lại
regen,Реген,再生,regen,Regen,regen,regener,régénération,Regen,εξέγερση,फिर से करना,megújít,Regen,再生,재생,regen,regeneracja,regenerar,ਰੀਜਨ,Regen,реген,regenerar,regen,ทำให้กลับมาอีก,regen,реген,regen
snow,сняг,雪,sníh,sne,sneeuw,lumi,neige,Schnee,χιόνι,बर्फ,hó,nevicare,雪,눈,snø,śnieg,neve,ਬਰਫ,zăpadă,снег,nieve,snö,หิมะ,kar,сніг,tuyết
humid,влажен,湿,vlhký,fugtig,vochtig,kostea,humide,feucht,υγρός,नमी,nedves,umido,湿気が多い,습한,fuktig,wilgotny,úmido,ਨਮੀ,umed,влажный,húmedo,fuktig,ชื้น,nemli,вологий,ẩm ướt
acid,киселина,酸,kyselina,syre,zuur,happo,acide,Säure,οξύ,अम्ल,sav,acido,酸,산,syre,kwas,ácido,ਐਸਿਡ,acid,кислота,ácido,syra,กรด,asit,кислот,axit
path,път,小路,cesta,sti,pad,polku,chemin,Weg,μονοπάτι,पथ,pálya,sentiero,道,길,sti,ścieżka,caminho,ਮਾਰਗ,cale,путь,camino,väg,เส้นทาง,yol,шлях,con đường
You can see the levels of your towers here,Можете да видите нивата на вашите кули тук,您可以在这里看到塔楼,Zde můžete vidět úrovně svých věží,Du kan se niveauerne på dine tårne her,U kunt hier de niveaus van uw torens zien,Voit nähdä torniesi tasot täällä,Vous pouvez voir les niveaux de vos tours ici,Hier können Sie die Ebenen Ihrer Türme sehen,Μπορείτε να δείτε τα επίπεδα των πύργων σας εδώ,आप अपने टावरों के स्तर को यहां देख सकते हैं,Itt láthatja a tornyok szintjét,Puoi vedere i livelli delle tue torri qui,ここでタワーのレベルを確認できます,탑의 레벨을 여기에서 볼 수 있습니다,Du kan se nivåene på tårnene dine her,Tutaj możesz zobaczyć poziomy swoich wież,Você pode ver os níveis de suas torres aqui,ਤੁਸੀਂ ਇੱਥੇ ਆਪਣੇ ਟਾਵਰਾਂ ਦੇ ਪੱਧਰ ਨੂੰ ਵੇਖ ਸਕਦੇ ਹੋ,Puteți vedea nivelurile turnurilor dvs. aici,Вы можете увидеть уровни ваших башен здесь,Puedes ver los niveles de tus torres aquí,Du kan se nivåerna på dina torn här,คุณสามารถดูระดับของหอคอยได้ที่นี่,Kulelerinizin seviyelerini burada görebilirsiniz,Тут ви можете побачити рівні своїх веж,Bạn có thể thấy các cấp của các tòa tháp của bạn ở đây
left click to advance the tutorial!,Щракнете с левия бутон. за да предварително уроците!,左键单击以推进教程！,klikněte levým tlačítkem pro pokračování v tutoriálu!,Venstre klik for at fremme tutorial!,Links klik om de tutorial te bevorderen!,Vasen napsauta edistääksesi opetusohjelmaa!,Cliquez à gauche pour faire avancer le tutoriel!,Klicken Sie mit der linken Maustaste. um das Tutorial voranzutreiben!,Αριστερά κλικ για να προωθήσετε το σεμινάριο!,ट्यूटोरियल को आगे बढ़ाने के लिए लेफ्ट क्लिक!,A bal kattintás az oktatóanyag előmozdításához!,Clicca sinistra per far avanzare il tutorial!,左クリックしてチュートリアルを進めます！,자습서를 왼쪽 클릭하십시오!,Venstreklikk for å fremme opplæringen!,Kliknij lewym kliknięcie. aby rozwinąć samouczek!,Clique esquerdo para avançar o tutorial!,ਟਿ utorial ਟੋਰਿਅਲ ਨੂੰ ਅੱਗੇ ਵਧਾਉਣ ਲਈ ਖੱਬਾ ਕਲਿਕ ਕਰੋ!,Faceți clic stânga pentru a avansa tutorialul!,Нажмите на щелчок. чтобы продвинуть учебник!,¡Haga clic izquierdo para avanzar el tutorial!,Vänsterklicka för att främja handledning!,คลิกซ้ายเพื่อล่วงหน้าการสอน!,Öğreticiyi ilerletmek için sol tıklayın!,Клацніть ліворуч. щоб просунути підручник!,Nhấp chuột trái để nâng cao hướng dẫn!
Click this to have a look at the info for any selected tower for any level. You can drag it around too!,Щракнете върху това. за да разгледате информацията за всяка избрана кула за всяко ниво.Можете да го плъзнете и наоколо!,单击此查看任何级别的任何塔的信息。您也可以将其拖动！,Kliknutím na to se podívejte na informace pro jakoukoli vybranou věž pro jakoukoli úroveň.Můžete to také přetáhnout!,Klik på dette for at se på info for ethvert valgt tårn for ethvert niveau.Du kan også trække det rundt!,Klik op dit om de info voor elke geselecteerde toren voor elk niveau te bekijken.Je kunt het ook slepen!,Napsauta tätä. jos haluat katsoa minkä tahansa tason valitun tornin tietoja.Voit myös vetää sen ympäri!,Cliquez sur ceci pour jeter un œil aux informations de toute tour sélectionnée pour n'importe quel niveau.Vous pouvez aussi le faire glisser!,Klicken Sie darauf. um sich die Informationen für einen beliebigen Turm für eine beliebige Ebene anzusehen.Sie können es auch herumziehen!,Κάντε κλικ σε αυτό για να ρίξετε μια ματιά στις πληροφορίες για κάθε επιλεγμένο πύργο για οποιοδήποτε επίπεδο.Μπορείτε να το σύρετε επίσης!,किसी भी स्तर के लिए किसी भी चयनित टॉवर के लिए जानकारी पर एक नज़र डालने के लिए इस पर क्लिक करें।आप इसे भी चारों ओर खींच सकते हैं!,Kattintson erre. hogy megnézze a kiválasztott torony bármely szintjére vonatkozó információkat.Ön is húzhatja!,Fai clic su questo per dare un'occhiata alle informazioni per qualsiasi torre selezionata per qualsiasi livello.Puoi trascinarlo anche tu!,これをクリックして、あらゆるレベルの選択したタワーの情報をご覧ください。あなたもそれをドラッグすることができます！,이것을 클릭하여 선택한 타워에 대한 정보를 살펴보십시오.당신도 드래그 할 수 있습니다!,Klikk på dette for å se på informasjonen for et hvilket som helst valgt tårn for alle nivåer.Du kan dra det rundt også!,Kliknij to. aby zapoznać się z informacjami o dowolnej wybranej wieży dla dowolnego poziomu.Możesz też to przeciągnąć!,Clique nisso para dar uma olhada nas informações de qualquer torre selecionada para qualquer nível.Você pode arrastá -lo também!,ਕਿਸੇ ਵੀ ਪੱਧਰ ਦੇ ਲਈ ਕਿਸੇ ਵੀ ਚੋਣ ਕਰਨ ਵਾਲੇ ਦੀ ਜਾਣਕਾਰੀ 'ਤੇ ਨਜ਼ਰ ਮਾਰਨ ਲਈ ਇਸ ਤੇ ਕਲਿਕ ਕਰੋ.ਤੁਸੀਂ ਇਸ ਨੂੰ ਵੀ ਦੁਆਲੇ ਖਿੱਚ ਸਕਦੇ ਹੋ!,Faceți clic pe acest lucru pentru a arunca o privire la informațiile pentru orice turn selectat pentru orice nivel.Îl poți trage și tu!,Нажмите на это. чтобы посмотреть информацию для любой выбранной башни для любого уровня.Вы тоже можете тащить его!,Haga clic en esto para ver la información para cualquier torre seleccionada para cualquier nivel.¡Puedes arrastrarlo también!,Klicka på detta för att titta på informationen för alla valt torn för alla nivåer.Du kan dra det också!,คลิกที่นี่เพื่อดูข้อมูลสำหรับหอคอยที่เลือกใด ๆ สำหรับทุกระดับคุณสามารถลากไปรอบ ๆ ได้!,Herhangi bir seviye için seçilen herhangi bir kulenin bilgilerine göz atmak için bunu tıklayın.Sen de sürükleyebilirsiniz!,Клацніть це. щоб ознайомитись із інформацією про будь -яку вибрану вежу для будь -якого рівня.Ви також можете перетягнути його!,Nhấp vào điều này để xem thông tin cho bất kỳ tháp nào được chọn cho bất kỳ cấp độ nào.Bạn cũng có thể kéo nó xung quanh!
Place the tower down somewhere to buy it!,Поставете кулата някъде. за да я купите!,将塔放在某个地方购买！,Umístěte věž někde. abyste ji koupili!,Placer tårnet et sted for at købe det!,Plaats de toren ergens naar beneden om hem te kopen!,Aseta torni jonnekin ostaaksesi sen!,Placez la tour quelque part pour l'acheter!,Legen Sie den Turm an einen Ort. um ihn zu kaufen!,Τοποθετήστε τον πύργο κάτω κάπου για να το αγοράσετε!,इसे खरीदने के लिए टॉवर को कहीं नीचे रखें!,Helyezze a tornyot valahova. hogy megvásárolja!,Posiziona la torre da qualche parte per acquistarla!,タワーをどこかに置いて購入してください！,탑을 어딘가에 놓으십시오!,Plasser tårnet ned et sted for å kjøpe det!,Umieść wieżę gdzieś. aby ją kupić!,Coloque a torre em algum lugar para comprá -la!,ਇਸ ਨੂੰ ਖਰੀਦਣ ਲਈ ਕਿਤੇ ਵੀ ਟਾਵਰ ਰੱਖੋ!,Așezați turnul undeva pentru a -l cumpăra!,Поместите башню где -нибудь. чтобы купить ее!,¡Coloque la torre en algún lugar para comprarla!,Placera tornet någonstans för att köpa det!,วางหอคอยลงที่ไหนสักแห่งเพื่อซื้อมัน!,Kuleyi satın almak için bir yere yerleştirin!,Покладіть вежу кудись. щоб її придбати!,Đặt tòa tháp xuống một nơi nào đó để mua nó!
Hover over the next wave button to see what's coming up next!,Завъртете се над следващия бутон на вълната. за да видите какво се случва след това!,悬停在下一个波浪按钮上，查看接下来会发生什么！,Umístěte se přes tlačítko další vlny a zjistěte. co se dále objeví!,Hold markøren over den næste bølge -knap for at se. hvad der kommer op næste!,Beweeg over de volgende golfknop om te zien wat er daarna komt!,Haja seuraavan aaltopainikkeen yli nähdäksesi mitä seuraavaksi tulee!,Survolez le prochain bouton d'onde pour voir ce qui se passe ensuite!,Bewegen Sie den Mauszeiger über die Schaltfläche „Nächste Welle“. um zu sehen. was als nächstes kommt!,Τοποθετήστε το δείκτη του επόμενου κουμπιού για να δείτε τι έρχεται στη συνέχεια!,आगे क्या हो रहा है यह देखने के लिए नेक्स्ट वेव बटन पर होवर करें!,Olvassa el a következő hullámgombot. hogy megnézze. mi jön a következő!,Passa il mouse sopra il pulsante Wave Next per vedere cosa succede dopo!,次のウェーブボタンの上にホバリングして、次に何が上がっているのかを確認します！,다음 웨이브 버튼 위로 마우스를 가져 가서 다음에 무슨 일이 일어나는지 확인하십시오!,Hold musepekeren over neste bølge -knapp for å se hva som kommer opp neste gang!,Wpadnij nad następnym przyciskiem fali. aby zobaczyć. co będzie dalej!,Passe o mouse sobre o próximo botão de onda para ver o que está por vir!,ਅਗਲੀ ਵੇਵ ਬਟਨ ਤੇ ਹੋਵਰ ਅਗਲਾ ਕੀ ਆ ਰਿਹਾ ਹੈ ਕਿ ਅੱਗੇ ਕੀ ਆ ਰਿਹਾ ਹੈ!,Treceți peste următorul buton Wave pentru a vedea ce urmează!,Наведите на кнопку следующей волны. чтобы увидеть. что будет дальше!,¡Ronda el siguiente botón de onda para ver lo que vendrá después!,Håll dig över nästa vågknapp för att se vad som kommer upp nästa!,วางเมาส์เหนือปุ่มคลื่นถัดไปเพื่อดูว่ามีอะไรเกิดขึ้นต่อไป!,Bundan sonra ne olacağını görmek için bir sonraki dalga düğmesinin üzerine gelin!,Наведіть курсор на наступну кнопку хвилі. щоб побачити. що буде далі!,Di chuột qua nút sóng tiếp theo để xem những gì sắp tới tiếp theo!
summons a portal that teleports enemies back to the start,призовава портал. който телепортира врагове обратно към началото,召唤一个传送门将敌人传送回起点,předvolá portál. který teleportuje nepřátele zpět na začátek,Indkald en portal. der teleporterer fjender tilbage til starten,roept een portal op dat vijanden terugtraagt naar de start,Kutsu portaali. joka teleportoi viholliset takaisin alkuun,invoque un portail qui téléporte les ennemis au début,Beschwören Sie ein Portal. das Feinde zum Start teleportiert,καλεί μια πύλη που τηλεμεταφέρει τους εχθρούς πίσω στην αρχή,एक पोर्टल को सम्मन करना जो दुश्मनों को वापस शुरू करने के लिए टेलीपोर्ट करता है,idézz egy portált. amely az ellenségeket teleportálja a kezdetre,Evoca un portale che teletrasporta i nemici all'inizio,敵がスタートに戻ってテレポートするポータルを召喚する,적을 다시 시작하는 포털을 소환합니다.,tilkaller en portal som teleporterer fiender tilbake til starten,przywołuje portal. który teleportuje się wrogów z powrotem na początek,convoca um portal que teleporta os inimigos de volta ao início,ਇਕ ਪੋਰਟਲ ਨੂੰ ਸੰਮਨ ਕਰੋ ਜੋ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਸ਼ੁਰੂ ਵਿਚ ਵਾਪਸ ਲੈ ਜਾਂਦਾ ਹੈ,Cizmează un portal care teleportă inamicii din nou la început,вызывает портал. который телепортирует врагов обратно в начало,convoca un portal que teletransporta a los enemigos al principio,kallar fram en portal som teleporterar fiender tillbaka till start,เรียกพอร์ทัลที่เทเลพอร์ตศัตรูกลับไปสู่จุดเริ่มต้น,düşmanları en başına ışınlayan bir portalı çağırır,викликає портал. який телепортує ворогів назад на початок,Triệu tập một cổng thông tin dịch chuyển kẻ thù trở lại từ đầu
targets a random enemy and does huge damage,Насочва се към случаен враг и нанася огромни щети,针对一个随机敌人并造成巨大伤害,se zaměřuje na náhodného nepřítele a způsobí obrovské poškození,angriber en tilfældig fjende og gør enorm skade,richt zich op een willekeurige vijand en doet enorme schade aan,kohdistaa satunnaisen vihollisen ja aiheuttaa valtavia vahinkoja,cible un ennemi aléatoire et fait d'énormes dégâts,zielt auf einen zufälligen Feind und verursacht großen Schaden,στοχεύει έναν τυχαίο εχθρό και κάνει τεράστια ζημιά,एक यादृच्छिक दुश्मन को निशाना बनाता है और भारी नुकसान करता है,egy véletlenszerű ellenséget célozza meg. és óriási károkat okoz,bersaglio un nemico casuale e fa un danno enorme,ランダムな敵をターゲットにし、大きなダメージを与えます,임의의 적을 대상으로하고 큰 손상을줍니다,retter seg mot en tilfeldig fiende og gjør store skader,atakuje losowego wroga i wyrządza ogromne obrażenia,tem como alvo um inimigo aleatório e causa enorme dano,ਬੇਤਰਤੀਬੇ ਦੁਸ਼ਮਣ ਨੂੰ ਨਿਸ਼ਾਨਾ ਬਣਾਉਂਦਾ ਹੈ ਅਤੇ ਬਹੁਤ ਵੱਡਾ ਨੁਕਸਾਨ ਕਰਦਾ ਹੈ,țintește un inamic aleatoriu și face daune uriașe,нацелен на случайного врага и наносит огромный урон,apunta a un enemigo al azar y hace un gran daño,riktar sig mot en slumpmässig fiende och gör enorm skada,กำหนดเป้าหมายศัตรูแบบสุ่มและสร้างความเสียหายอย่างมาก,rastgele bir düşmanı hedefler ve büyük hasar verir,орієнтується на випадкового ворога і завдає величезної шкоди,nhắm mục tiêu một kẻ thù ngẫu nhiên và gây sát thương rất lớn
increases max towers but takes 2 gold at the start of turn,Увеличава максималните кули. но в началото на завоя взема 2 злати,增加最大塔数但在回合开始时需要 2 金币,Zvyšuje maximální věže. ale na začátku otočení vezme 2 zlaté,øger max tårne. men tager 2 guld i starten af ​​svinget,verhoogt maximum torens maar neemt 2 goud aan het begin van de beurt,lisää enimmäistorneja. mutta vie 2 kultaa käännöksen alussa,augmente les tours maximales mais prend 2 or au début du tour,Erhöht Max Towers. nimmt jedoch zu Beginn der Kurve 2 Gold,αυξάνει τους μέγιστες πύργους. αλλά παίρνει 2 χρυσά στην αρχή της στροφής,मैक्स टावर्स बढ़ाता है लेकिन टर्न की शुरुआत में 2 गोल्ड लेता है,növeli a maximális tornyokat. de 2 aranyat vesz a fordulás kezdetén,aumenta le torri massime ma prende 2 oro all'inizio del turno,マックスタワーを増やしますが、ターンの開始時に2ゴールドを奪います,최대 타워를 늘리지 만 턴이 시작될 때 2 골드를 차지합니다.,øker maksimalt tårn. men tar 2 gull i begynnelsen av svingen,Zwiększa maksymalne wieże. ale na początku zakrętu bierze 2 złoto,Aumenta as torres máximas. mas leva 2 ouro no início do turno,ਮੈਕਸ ਟਾਵਰਸ ਨੂੰ ਵਧਾਉਂਦਾ ਹੈ ਪਰ ਵਾਰੀ ਦੀ ਸ਼ੁਰੂਆਤ ਤੇ 2 ਸੋਨਾ ਲੈਂਦਾ ਹੈ,crește turnurile maxare. dar ia 2 aur la începutul rândului,Увеличивает максимальные башни. но в начале хода занимает 2 золота,aumenta las torres máximas pero toma 2 de oro al comienzo del turno,ökar max torn men tar 2 guld i början av svängen,เพิ่มอาคารสูงสุด แต่ใช้ทอง 2 ทองในช่วงเลี้ยว,Maksimum kuleleri arttırır. ancak dönüş başında 2 altın alır,збільшує максимальні вежі. але займає 2 золота на початку повороту,Tăng tháp tối đa nhưng mất 2 vàng khi bắt đầu lượt
shoots nails that do extra damage to enemies without status effects,стреля нокти. които нанасят допълнителни щети на враговете без ефекти на състоянието,射击指甲对敌人造成额外伤害而没有地位影响,střílí nehty. které způsobují zvláštní poškození nepřátel bez efektů,Skyder negle. der gør ekstra skade på fjender uden statuseffekter,Schiet nagels die extra schade aanvoeren aan vijanden zonder statuseffecten,ampuu nauloja. jotka aiheuttavat ylimääräistä vahinkoa vihollisille ilman tilavaikutuksia,tire des ongles qui font des dégâts supplémentaires aux ennemis sans effets de statut,schießt Nägel. die Feinde ohne Statusffekte zusätzlich beschädigen,Πυροβολεί νύχια που κάνουν επιπλέον ζημιά στους εχθρούς χωρίς εφέ κατάστασης,नाखूनों को गोली मारता है जो स्टेटस इफेक्ट के बिना दुश्मनों को अतिरिक्त नुकसान पहुंचाता है,olyan körmöket lő. amelyek extra károkat okoznak az ellenségeknek állapothatások nélkül,spara unghie che fanno danni extra ai nemici senza effetti di stato,ステータス効果なしで敵に余分なダメージを与える爪を撃つ,상태 효과가없는 적에게 추가 피해를 입히는 손톱을 쏴,skyter negler som gjør ekstra skade på fiender uten statuseffekter,strzela paznokcie. które wyrządzają dodatkowe obrażenia wrogom bez efektów statusu,Atira pregos que causam danos extras aos inimigos sem efeitos de status,ਨੇਤਰਾਂ ਨੂੰ ਕਮਤ ਵਧਣੀ ਜੋ ਬਿਨਾਂ ਰੁਕੇ ਦੇ ਪ੍ਰਭਾਵਾਂ ਤੋਂ ਬਿਨਾਂ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਵਾਧੂ ਨੁਕਸਾਨ ਕਰਦੇ ਹਨ,Trage unghiile care fac daune suplimentare inamicilor fără efecte de stare,стреляет гвозди. которые наносят дополнительный ущерб врагам без эффектов статуса,dispara uñas que hacen daño adicional a los enemigos sin efectos de estado,Skott naglar som gör extra skador på fiender utan statuseffekter,ยิงเล็บที่สร้างความเสียหายต่อศัตรูโดยไม่มีเอฟเฟกต์สถานะ,Durum efektleri olmayan düşmanlara ekstra hasar veren tırnaklar çeker,стріляє нігтями. які завдають додаткової шкоди ворогам без ефектів статусу,Bắn móng tay gây thêm thiệt hại cho kẻ thù mà không có hiệu ứng trạng thái
shoots dynamite that explodes after a period of time simultaneously,изстрелва динамит. който избухва след период от време едновременно,射击一段时间后爆炸的炸药,střílí dynamitu. který exploduje po určité době současně,skyder dynamit. der eksploderer efter en periode samtidig,Schiet dynamiet op dat na een periode van tijd tegelijkertijd explodeert,ampuu dynamiittia. joka räjähtää ajan kuluttua samanaikaisesti,tire de la dynamite qui explose après une période de temps simultanément,schießt Dynamit. das nach einer bestimmten Zeit gleichzeitig explodiert,πυροβολεί δυναμίτη που εκρήγνυται μετά από μια χρονική περίοδο ταυτόχρονα,डायनामाइट को गोली मारता है जो एक साथ समय की अवधि के बाद विस्फोट होता है,Lövi a dinamitot. amely egyidejűleg egyidejűleg felrobban,spara dinamite che esplode dopo un periodo di tempo contemporaneamente,同時に一定期間後に爆発するダイナマイトを撃ちます,일정 기간 후에 동시에 폭발하는 다이너마이트를 촬영합니다.,skyter dynamitt som eksploderer etter en periode samtidig,strzela dynamitu. który eksploduje po pewnym czasie jednocześnie,dispara dinamite que explode após um período de tempo simultaneamente,ਸ਼ੂਟ ਡਾਇਨਾਮਾਈਟ ਜੋ ਇਕੋ ਸਮੇਂ ਸਮੇਂ ਦੀ ਮਿਆਦ ਦੇ ਬਾਅਦ ਫਟਦਾ ਹੈ,trage dinamita care explodează după o perioadă de timp simultan,снимает динамит. который взрывается после периода времени одновременно,dispara dinamita que explota después de un período de tiempo simultáneamente,Skottdynamit som exploderar efter en tid samtidigt,ยิงจุดระเบิดที่ระเบิดหลังจากช่วงเวลาหนึ่งพร้อมกัน,Aynı anda bir süre sonra patlayan dinamit atar,знімає динаміт. який вибухає через певний проміжок часу одночасно,bắn thuốc nổ phát nổ sau một khoảng thời gian đồng thời
shoots huge rockets with enormous explosions,изстрелва огромни ракети с огромни експлозии,用巨大的爆炸射击巨大的火箭,střílí obrovské rakety s obrovskými výbuchy,Skyder enorme raketter med enorme eksplosioner,schiet enorme raketten met enorme explosies,ampuu valtavia raketteja. joissa on valtavia räjähdyksiä,tire d'énormes roquettes avec d'énormes explosions,schießt riesige Raketen mit enormen Explosionen,Πυροβολεί τεράστιες πυραύλους με τεράστιες εκρήξεις,विशाल विस्फोटों के साथ विशाल रॉकेट को गोली मारता है,hatalmas rakétákat lő hatalmas robbanásokkal,spara enormi razzi con enormi esplosioni,巨大な爆発で巨大なロケットを撃ちます,엄청난 폭발로 거대한 로켓을 쏴,skyter enorme raketter med enorme eksplosjoner,strzela do ogromnych rakiet z ogromnymi eksplozjami,dispara foguetes enormes com enormes explosões,ਵੱਡੇ ਧਮਾਕੇ ਨਾਲ ਵੱਡੀਆਂ ਰਾਕੇਟਾਂ ਨੂੰ ਸ਼ੂਟ ਕਰੋ,Trage rachete uriașe cu explozii enorme,стреляет огромными ракетами с огромными взрывами,Dispara enormes cohetes con enormes explosiones,Sköter enorma raketer med enorma explosioner,ยิงจรวดขนาดใหญ่ด้วยการระเบิดครั้งใหญ่,muazzam patlamalarla büyük roketler çekiyor,знімає величезні ракети з величезними вибухами,bắn những tên lửa khổng lồ với những vụ nổ lớn
shoots a beam of light that does burning damage,изстрелва лъч светлина. която нанася горящи щети,射出一束燃烧伤害的光束,střílí paprsek světla. který poškozuje pálení,Skyder en lysstråle. der brænder skader,schiet een lichtstraal dat brandende schade doet,ampuu valonsäteen. joka tekee polttamisvaurioita,tire un faisceau de lumière qui fait des dégâts brûlants,schießt einen Lichtstrahl. der Verbrennungsschäden verursacht,πυροβολεί μια δέσμη φωτός που προκαλεί ζημιά,प्रकाश की एक किरण को गोली मारता है जो जलन को नुकसान पहुंचाता है,lő egy fénysugár. amely égő károkat okoz,spara un raggio di luce che fa danni da bruciore,燃えるようなダメージを与える光のビームを撃ちます,타는 손상을 일으키는 빛의 광선을 쏘게됩니다,skyter en lysstråle som brenner skader,strzela wiązką światła. która spala uszkodzenie,dispara um feixe de luz que causa dano a queima,ਚਾਨਣ ਦੀ ਸ਼ਤੀਰ ਨੂੰ ਕੁੱਟਦਾ ਹੈ ਜੋ ਨੁਕਸਾਨਦਾ ਹੈ,trage un fascicul de lumină care face daune arzătoare,стреляет луч света. который наносит урон,dispara un haz de luz que hace daño ardiente,skjuter en ljusstråle som bränner skador,ยิงลำแสงที่ทำให้เกิดความเสียหาย,Yanan hasar veren bir ışık demeti vurur,стріляє променем світла. який завдає пошкодження,bắn một chùm ánh sáng gây sát thương
shoots iceblocks that freeze enemies for a brief period of time,стреля с ледени блокове. които замразяват враговете за кратък период от време,射击冰块，使敌人在短时间内冻结敌人,střílí ledové bloky. které na krátkou dobu zmrazí nepřátele,Skyder isblokke. der fryser fjender i en kort periode,Schiet ijsblokken op die vijanden voor een korte periode bevriezen,ampuu jäätelöitä. jotka jäädyttävät vihollisia lyhyen ajan,tire des objets de glace qui gèlent les ennemis pendant une brève période de temps,schießt Eisblocks. die für einen kurzen Zeitraum Feinde einfrieren,Πυροβολεί παγωτά που παγώνουν τους εχθρούς για σύντομο χρονικό διάστημα,कुछ समय के लिए दुश्मनों को फ्रीज करने वाले आइसब्लॉक को गोली मारता है,Az ellenségeket rövid ideig fagyasztja be az ellenségeket,Spara blocchi di ghiaccio che congelano i nemici per un breve periodo di tempo,敵を短時間凍結するアイスブロックを撃つ,잠시 동안 적을 얼리는 빙원을 촬영합니다.,skyter isblokker som fryser fiender i en kort periode,strzela do lodowcowych. które zamrażają wrogów na krótki czas,dispara bloqueios de gelo que congelam inimigos por um breve período de tempo,ਸ਼ੂਟਿੰਗ ਆਈਸਬਲੈਕਸ ਜੋ ਦੁਸ਼ਮਣਾਂ ਨੂੰ ਥੋੜ੍ਹੇ ਸਮੇਂ ਲਈ ਜਮਾਉਂਦੀ ਹੈ,Trage blocaje de gheață care înghețează dușmanii pentru o scurtă perioadă de timp,Стреляет в ледоколы. которые замораживают врагов в течение короткого периода времени,Dispara a los bloqueos de hielo que congelan a los enemigos por un breve período de tiempo,skjuter isblock som fryser fiender under en kort tidsperiod,ยิง IceBlocks ที่ตรึงศัตรูในช่วงเวลาสั้น ๆ,Kısa bir süre için düşmanları donduran buzla blokları vurur,знімає крижані блоки. які заморожують ворогів протягом короткого періоду часу,Bắn băng đóng băng kẻ thù trong một khoảng thời gian ngắn
